S/N,ACTIVITY_START_DATE,DATASET_NAME,SITE,TREATMENT,ACTIVITY_MEDIA_NAME,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE
395,2017-08-14,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,169.60,3.50,264.00,0.39,0.75,2.34,0.00,0.23,0.00,1.96,605.00,1.00,60.00,1.10,25.60,3.00,170.00,3.00,7.18,2.76,1.00,609.00,4.54,0.01
396,2017-08-14,Chemistry,Site3,none (reference/control),Lake Water,1.26,122.00,2.48,267.00,0.34,0.73,0.65,0.00,0.17,0.00,1.25,592.00,2.00,45.00,0.64,27.37,4.50,121.50,3.00,7.04,1.88,0.00,459.35,4.54,0.01
397,2017-08-16,Chemistry,Site1,none (reference/control),Lake Water,1.25,167.60,3.73,266.00,0.40,0.75,2.33,0.00,0.25,0.00,1.92,625.00,1.00,49.10,1.10,27.37,3.00,174.00,2.00,7.14,2.82,1.00,387.05,4.25,0.01
398,2017-08-21,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,168.00,2.61,286.00,0.40,0.74,2.29,0.00,0.24,0.00,1.97,639.00,2.00,47.60,1.10,25.30,6.00,164.00,3.00,7.36,2.77,0.00,469.90,4.54,0.01
399,2017-08-21,Chemistry,Site4,fertilized,Lake Water,26.18,93.40,9.43,407.50,0.00,0.46,0.39,0.00,0.18,0.05,0.66,699.00,3.00,390.50,0.92,15.83,5.00,46.00,20.50,7.60,1.49,1.00,2753.10,1.00,0.00
400,2017-08-22,Chemistry,Site2,none (reference/control),Lake Water,1.00,173.00,2.53,212.00,0.38,0.61,0.54,0.00,0.19,0.00,1.57,365.00,0.00,30.80,0.71,27.37,2.00,188.00,3.00,7.25,2.78,1.00,366.00,5.75,0.01
401,2017-08-28,Chemistry,Site3,none (reference/control),Lake Water,1.70,122.80,5.92,280.00,0.31,0.73,0.57,0.00,0.26,0.00,1.27,606.00,1.00,63.70,0.64,27.37,6.00,121.00,3.00,7.05,1.89,0.00,440.50,4.54,0.01
402,2017-08-30,Chemistry,Site1,none (reference/control),Lake Water,1.96,170.00,2.53,253.00,0.40,0.72,2.27,0.00,0.24,0.02,1.88,578.00,1.00,47.30,1.13,27.37,0.00,174.00,3.00,7.19,2.66,1.00,320.70,4.00,0.01
403,2017-09-05,Chemistry,Site4,fertilized,Lake Water,42.27,101.40,9.25,387.00,0.00,0.45,0.39,0.00,0.18,0.07,0.70,698.00,1.00,492.40,0.94,15.83,1.00,74.00,29.00,6.78,1.51,0.00,3746.00,1.27,0.00
404,2017-09-06,Chemistry,Site2,none (reference/control),Lake Water,1.55,177.40,1.87,190.00,0.39,0.62,0.49,0.00,0.21,0.00,1.61,379.50,0.00,47.05,0.73,27.37,0.00,190.00,2.50,7.30,2.81,0.00,416.10,6.75,0.01
405,2017-09-11,Chemistry,Site3,none (reference/control),Lake Water,2.01,127.40,3.10,273.00,0.34,0.74,0.51,0.00,0.20,0.00,1.28,644.00,0.00,414.20,0.65,27.37,3.00,146.00,3.00,7.07,1.94,0.00,464.10,4.54,0.01
406,2017-09-13,Chemistry,Site1,none (reference/control),Lake Water,2.43,176.40,2.70,249.50,0.41,0.75,2.21,0.00,0.23,0.00,1.98,642.00,2.00,35.35,1.10,27.37,0.00,181.00,3.50,7.15,2.78,0.00,334.35,3.25,0.01
407,2017-09-18,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,195.80,16.89,672.00,0.36,1.08,6.18,0.00,0.26,0.58,2.53,1693.00,14.00,16.00,1.83,33.00,6.00,301.00,4.00,6.22,4.05,0.00,303.60,4.54,0.01
408,2017-09-18,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,51.02,1380.00,0.31,0.88,4.84,0.02,0.20,1.06,0.48,5359.00,2.00,84.80,0.95,47.00,34.00,452.00,8.00,4.07,2.59,0.00,1208.00,4.54,0.01
409,2017-09-18,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,43.60,39.42,991.00,0.00,0.72,6.56,0.00,0.48,0.89,1.56,2593.00,2.00,41.80,1.06,26.50,25.00,477.00,5.00,4.84,2.49,0.00,511.00,4.54,0.01
410,2017-09-18,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,173.60,3.10,258.00,0.41,0.76,2.26,0.00,0.24,0.02,1.98,613.00,1.00,57.20,1.11,25.50,5.00,187.00,3.00,7.07,2.78,0.00,614.00,4.54,0.01
411,2017-09-18,Chemistry,Site2,none (reference/control),Lake Water,1.55,174.20,2.42,197.00,0.38,0.59,0.43,0.00,0.19,0.00,1.54,361.00,2.00,28.90,0.71,27.37,4.00,69.00,4.00,7.27,2.73,0.00,433.80,4.50,0.01
412,2017-09-18,Chemistry,Site4,fertilized,Lake Water,38.05,94.00,9.99,388.00,0.00,0.45,0.46,0.00,0.17,0.08,0.76,693.00,1.00,442.10,0.86,15.83,5.00,117.00,34.00,6.40,1.40,0.00,3509.70,0.75,0.00
413,2017-09-25,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,119.40,16.37,788.00,0.34,0.86,5.74,0.01,0.24,0.69,1.52,2241.00,12.00,29.10,1.39,27.60,10.00,293.00,5.00,5.59,3.46,0.00,302.80,4.54,0.01
414,2017-09-25,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,33.47,1099.00,0.53,0.75,3.40,0.01,0.21,0.93,0.26,4456.00,1.00,63.00,0.80,46.00,19.00,425.00,4.00,4.06,2.17,0.00,710.50,4.54,0.01
415,2017-09-25,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,6.80,13.32,729.00,0.31,0.62,4.65,0.00,0.25,0.52,1.65,2234.00,1.00,34.00,0.88,28.10,8.00,359.00,4.00,4.57,2.14,0.00,372.00,4.54,0.01
416,2017-09-25,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,165.20,3.17,258.00,0.39,0.74,2.20,0.00,0.23,0.00,1.93,594.00,2.00,64.90,1.10,25.00,3.00,180.00,4.00,7.17,2.74,0.00,540.50,4.54,0.01
417,2017-09-25,Chemistry,Site3,none (reference/control),Lake Water,3.44,127.20,3.51,266.00,0.32,0.72,0.44,0.00,0.16,0.00,1.25,592.00,2.00,50.40,0.63,27.37,5.00,141.00,4.00,7.03,1.88,0.00,487.60,4.54,0.01
418,2017-09-27,Chemistry,Site1,none (reference/control),Lake Water,3.55,168.80,2.65,246.00,0.40,0.74,2.23,0.00,0.25,0.00,1.96,616.00,1.00,34.60,1.09,27.37,6.00,186.00,3.00,6.99,2.76,0.00,356.30,3.50,0.01
419,2017-10-02,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,131.80,14.25,718.00,0.32,0.84,6.13,0.00,0.29,0.72,1.06,2037.00,29.00,24.10,1.32,25.00,7.00,281.00,5.00,5.86,3.35,0.00,322.40,4.54,0.01
420,2017-10-02,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,37.11,1191.00,0.52,0.69,3.93,0.00,0.22,1.07,0.15,4492.00,1.00,69.20,0.76,41.00,23.00,398.00,6.00,4.09,2.02,0.00,940.50,4.54,0.01
421,2017-10-02,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,14.60,13.58,628.00,0.00,0.47,5.19,0.00,0.29,0.47,1.47,1758.00,4.00,27.80,0.81,20.30,10.00,288.00,3.00,4.78,1.66,0.00,264.90,4.54,0.01
422,2017-10-02,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,165.00,2.91,271.00,0.37,0.71,2.27,0.00,0.24,0.01,1.91,598.00,3.00,51.80,1.00,24.00,2.00,196.00,4.00,6.92,2.63,0.00,568.50,4.54,0.01
423,2017-10-02,Chemistry,Site4,fertilized,Lake Water,19.27,85.60,10.19,402.00,0.00,0.45,0.78,0.00,0.17,0.06,0.78,755.00,3.00,333.60,0.80,15.83,4.00,111.00,27.00,6.36,1.40,0.00,2804.00,1.27,0.00
424,2017-10-04,Chemistry,Site2,none (reference/control),Lake Water,2.28,172.10,1.94,205.50,0.35,0.57,0.42,0.00,0.19,0.00,1.55,366.50,0.00,30.55,0.64,27.37,0.00,201.50,3.00,7.18,2.62,0.00,398.80,5.00,0.01
425,2017-10-10,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,165.60,11.74,610.00,0.00,0.87,6.83,0.00,0.23,0.66,0.98,1970.00,6.00,0.00,1.43,26.60,24.00,260.00,2.00,6.13,3.43,0.00,213.90,4.54,0.01
426,2017-10-10,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,47.54,1312.00,0.56,0.70,4.70,0.00,0.23,1.16,0.15,4444.00,0.00,5739.00,0.79,38.00,113.00,395.00,5.00,4.19,2.14,0.00,990.00,4.54,0.01
427,2017-10-10,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,20.40,15.01,608.00,0.00,0.42,5.54,0.00,0.22,0.48,1.29,1697.00,3.00,0.00,0.81,19.50,27.00,367.00,2.00,4.82,1.46,0.00,313.00,4.54,0.01
428,2017-10-10,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,169.80,2.42,264.00,0.37,0.71,2.29,0.00,0.23,0.01,1.94,651.00,0.00,35.90,0.98,25.00,11.00,205.00,3.00,6.88,2.65,0.00,564.50,4.54,0.01
429,2017-10-10,Chemistry,Site3,none (reference/control),Lake Water,3.32,122.50,2.58,289.50,0.32,0.69,0.50,0.00,0.17,0.00,1.31,596.00,0.50,39.70,0.59,27.37,10.50,153.50,5.00,6.77,1.80,0.00,511.60,4.54,0.01
430,2017-10-11,Chemistry,Site1,none (reference/control),Lake Water,3.29,170.40,2.42,269.00,0.40,0.71,2.24,0.00,0.27,0.02,1.97,670.00,0.00,38.40,1.00,27.37,1.00,203.00,3.00,6.84,2.65,0.00,513.00,4.54,0.01
431,2017-10-16,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,190.70,13.51,548.00,0.00,0.93,7.11,0.00,0.18,0.64,1.03,1618.00,10.00,0.00,1.56,29.00,6.00,315.00,2.00,6.27,3.58,0.00,191.15,4.54,0.01
432,2017-10-16,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,67.20,1502.00,0.55,0.71,5.06,0.00,0.24,1.26,0.13,4687.00,1.00,66.70,0.83,38.90,153.00,372.00,6.00,4.23,2.18,0.00,1103.50,4.54,0.01
433,2017-10-16,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,22.80,20.99,662.00,0.00,0.44,5.86,0.00,0.23,0.57,1.13,1801.00,9.00,17.60,0.86,19.60,15.00,379.00,3.00,4.89,1.55,1.00,355.90,4.54,0.01
434,2017-10-16,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,347.80,3.18,263.00,0.37,0.70,2.39,0.00,0.23,0.01,1.98,657.00,1.00,34.60,0.98,26.50,0.00,202.00,4.00,6.90,2.63,0.00,526.50,4.54,0.01
435,2017-10-23,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,206.40,14.51,617.00,0.31,0.94,7.11,0.00,0.33,0.59,0.99,1540.00,47.00,0.00,1.64,30.70,12.00,341.00,3.00,6.25,3.62,0.00,282.10,4.54,0.01
436,2017-10-23,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,87.03,1733.00,0.59,0.73,5.31,0.01,0.26,1.31,0.13,5251.00,3.00,185.70,0.82,36.60,226.00,428.00,15.00,4.14,2.32,0.00,3431.00,4.54,0.01
437,2017-10-23,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,28.40,27.13,757.00,0.00,0.45,6.16,0.00,0.36,0.62,0.84,1967.00,23.00,20.80,0.87,19.80,20.00,374.00,4.00,4.89,1.62,0.00,457.60,4.54,0.01
438,2017-10-23,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,168.30,2.90,252.50,0.38,0.71,2.31,0.00,0.25,0.01,1.99,610.00,3.50,39.35,0.99,25.25,3.50,192.00,3.50,6.92,2.65,0.00,556.25,4.54,0.01
439,2018-05-07,Chemistry,Site3,none (reference/control),Lake Water,0.74,121.40,4.00,471.52,0.40,0.72,0.80,0.02,0.22,0.05,1.18,509.00,60.00,25.00,0.71,27.37,22.55,199.00,5.00,6.41,1.87,0.00,312.40,4.54,0.01
440,2018-05-08,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,123.60,12.00,471.52,0.42,0.66,4.42,0.00,0.17,0.31,1.24,1271.00,22.00,21.20,1.34,22.90,22.55,249.50,3.00,6.01,2.52,0.00,244.70,4.54,0.01
441,2018-05-08,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,25.80,471.52,0.83,0.28,3.41,0.02,0.11,0.41,0.26,2317.00,0.00,85.90,0.57,29.50,22.55,249.50,10.00,4.23,0.82,0.00,1029.00,4.54,0.01
442,2018-05-08,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,20.80,10.90,471.52,0.38,0.39,3.47,0.00,0.26,0.25,1.77,1197.00,28.00,28.20,0.87,18.30,22.55,285.00,4.00,4.99,2.37,0.00,325.40,4.54,0.01
443,2018-05-08,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,155.60,2.70,471.52,0.43,0.70,2.56,0.00,0.24,0.03,1.79,600.00,42.00,43.00,1.10,25.80,22.55,227.00,4.00,6.69,2.64,1.00,399.60,4.54,0.01
444,2018-05-14,Chemistry,Site2,none (reference/control),Lake Water,1.06,174.80,1.92,185.00,0.42,0.59,0.63,0.00,0.19,0.02,1.43,325.00,5.00,41.60,0.75,27.37,22.55,213.00,4.00,6.93,2.73,2.00,402.50,6.00,0.01
445,2018-05-15,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,148.60,9.32,452.00,0.42,0.81,4.70,0.00,0.14,0.36,1.40,669.00,10.80,12.00,1.63,24.70,22.55,235.00,2.00,6.34,2.91,0.00,175.10,4.54,0.01
446,2018-05-15,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.32,977.00,0.80,0.33,4.49,0.00,0.13,0.59,0.32,1306.00,10.80,104.50,0.72,29.60,22.55,263.00,1.00,4.32,0.96,0.00,1042.50,4.54,0.01
447,2018-05-15,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,20.00,9.32,537.00,0.26,0.42,3.71,0.00,0.21,0.26,1.75,591.00,10.80,18.90,0.92,18.60,22.55,294.00,4.00,5.06,1.35,2.00,296.90,4.54,0.01
448,2018-05-15,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,160.20,9.32,260.00,0.39,0.75,2.45,0.00,0.24,0.03,1.79,313.00,10.80,56.70,1.13,24.80,22.55,187.00,7.00,6.94,2.79,1.00,514.50,4.54,0.01
449,2018-05-15,Chemistry,Site4,fertilized,Lake Water,4.22,76.00,5.94,707.00,0.23,0.41,0.73,0.00,0.29,0.06,0.85,697.00,27.88,121.20,0.89,15.83,46.72,79.00,13.00,6.68,1.41,0.00,974.00,1.27,0.00
450,2018-05-16,Chemistry,Site1,none (reference/control),Lake Water,3.92,165.00,9.32,264.00,0.41,0.76,2.49,0.00,0.25,0.03,1.80,584.00,10.80,51.70,1.13,27.37,22.55,190.00,5.00,6.89,2.83,2.00,488.50,4.54,0.01
451,2018-05-22,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,116.20,8.88,486.00,0.38,0.71,4.12,0.00,0.13,0.30,1.01,1481.00,12.00,11.40,1.29,23.40,2.00,209.00,2.00,6.08,2.75,0.00,184.10,4.54,0.01
452,2018-05-22,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,15.70,624.00,0.74,0.33,3.61,0.02,0.13,0.45,0.25,2417.00,0.00,66.20,0.68,28.80,14.00,270.00,7.00,4.27,0.94,1.00,565.50,4.54,0.01
453,2018-05-22,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,23.80,7.17,415.00,0.16,0.41,3.18,0.00,0.13,0.23,1.43,1301.00,10.00,15.10,0.77,17.90,3.00,221.00,3.00,4.99,1.33,1.00,210.80,4.54,0.01
454,2018-05-22,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,162.20,2.90,281.00,0.42,0.74,2.34,0.00,0.25,0.03,1.79,610.00,17.00,56.10,1.13,24.70,3.00,159.00,5.00,7.08,2.78,1.00,480.70,4.54,0.01
455,2018-05-23,Chemistry,Site3,none (reference/control),Lake Water,1.71,118.00,3.11,283.00,0.33,0.73,0.73,0.00,0.20,0.00,1.20,542.00,24.00,60.50,0.67,27.37,6.00,131.00,5.00,7.12,1.91,1.00,423.30,4.54,0.01
456,2018-05-28,Chemistry,Site2,none (reference/control),Lake Water,0.59,171.30,1.40,212.50,0.38,0.62,0.64,0.00,0.21,0.00,1.44,330.50,0.00,46.65,0.74,27.37,4.00,191.50,5.00,7.37,2.83,1.00,375.95,6.50,0.01
457,2018-05-29,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,162.80,8.81,541.00,0.40,0.86,4.22,0.00,0.15,0.42,0.98,1577.00,6.00,26.10,1.59,26.70,17.00,208.00,2.00,6.18,3.39,1.00,233.60,4.54,0.01
458,2018-05-29,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,18.12,765.50,0.74,0.33,4.32,0.00,0.12,0.51,0.22,2635.00,0.00,47.80,0.80,30.20,126.00,230.50,7.50,4.26,0.97,2.00,608.75,4.54,0.01
459,2018-05-29,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,17.60,8.62,424.00,0.11,0.42,3.30,0.00,0.10,0.26,1.29,1471.00,14.00,23.60,0.81,18.00,22.00,234.00,3.00,4.97,1.42,1.00,292.30,4.54,0.01
460,2018-05-29,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,160.50,3.87,267.00,0.40,0.73,2.33,0.00,0.23,0.00,1.76,601.00,4.00,65.90,1.09,24.50,10.00,117.00,68.00,7.00,2.71,1.00,586.00,4.54,0.01
461,2018-05-29,Chemistry,Site4,fertilized,Lake Water,6.81,76.60,10.15,356.00,0.18,0.45,0.62,0.00,0.22,0.04,0.88,766.00,0.00,169.10,0.87,15.83,5.00,60.00,23.00,6.46,1.48,1.00,1215.50,1.25,0.00
462,2018-05-30,Chemistry,Site1,none (reference/control),Lake Water,1.94,160.00,2.33,264.00,0.39,0.74,2.44,0.00,0.25,0.00,1.75,618.00,1.00,48.50,1.13,27.37,11.00,161.00,5.00,7.14,2.74,1.00,477.80,2.50,0.01
463,2018-06-04,Chemistry,Site3,none (reference/control),Lake Water,1.42,121.40,2.33,230.00,0.32,0.72,0.60,0.00,0.19,0.00,1.17,558.00,1.00,48.90,0.66,27.37,8.00,122.00,4.00,7.23,1.89,0.00,478.20,4.54,0.01
464,2018-06-05,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,169.40,8.78,529.00,0.30,0.91,5.22,0.00,0.10,0.49,0.93,1672.00,13.00,11.30,1.69,26.00,17.00,263.00,3.00,6.33,3.51,1.00,206.80,4.54,0.01
465,2018-06-05,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,15.93,726.00,0.72,0.37,4.72,0.00,0.11,0.56,0.17,1455.00,0.00,24.40,0.87,30.20,110.00,304.00,4.00,4.40,1.11,0.00,382.80,4.54,0.01
466,2018-06-05,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,27.00,5.57,454.50,0.08,0.44,3.98,0.00,0.10,0.35,1.20,1112.50,19.00,0.00,0.87,17.85,17.50,327.50,2.50,5.05,1.50,1.00,189.85,4.54,0.01
467,2018-06-05,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,161.20,0.16,246.00,0.38,0.73,2.41,0.00,0.23,0.00,1.74,603.00,0.00,57.70,1.11,23.90,7.00,162.00,4.00,7.19,2.71,0.00,482.90,4.54,0.01
468,2018-06-11,Chemistry,Site2,none (reference/control),Lake Water,0.76,177.20,2.89,218.00,0.38,0.62,0.58,0.00,0.22,0.00,1.43,365.00,0.00,29.40,0.75,27.37,1.00,186.00,4.00,7.39,2.83,0.00,322.60,4.54,0.01
469,2018-06-12,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,240.15,12.34,541.50,0.37,1.14,5.30,0.00,0.13,0.52,0.92,1556.00,22.00,67.00,1.95,32.13,17.50,316.00,3.50,6.53,4.25,1.00,294.55,4.54,0.01
470,2018-06-12,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,19.97,887.00,0.79,0.44,5.22,0.00,0.12,0.63,0.11,3006.00,3.00,52.89,0.95,30.75,164.00,297.00,4.00,4.35,1.34,0.00,450.70,4.54,0.01
471,2018-06-12,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,27.40,9.37,582.00,0.12,0.46,3.93,0.00,0.07,0.42,0.81,1660.00,18.00,52.89,0.90,18.25,20.00,435.00,3.00,5.07,1.66,1.00,334.60,4.54,0.01
472,2018-06-12,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,157.60,2.19,236.00,0.42,0.77,2.36,0.00,0.24,0.04,1.76,608.00,0.00,52.89,1.14,24.50,16.00,156.00,3.00,7.22,2.76,0.00,481.50,4.54,0.01
473,2018-06-12,Chemistry,Site4,fertilized,Lake Water,28.42,92.70,6.50,407.00,0.19,0.45,0.56,0.00,0.22,0.03,0.84,770.00,0.00,531.90,0.87,15.83,12.00,27.00,26.00,7.21,1.46,0.00,2818.90,1.00,0.00
474,2018-06-13,Chemistry,Site1,none (reference/control),Lake Water,0.98,160.60,2.73,241.00,0.41,0.75,0.41,0.00,0.24,0.00,1.77,600.00,5.00,52.89,1.13,27.37,12.00,164.00,4.00,7.12,2.76,1.00,426.60,4.00,0.01
475,2018-06-18,Chemistry,Site3,none (reference/control),Lake Water,1.47,120.80,2.96,243.00,0.35,0.73,0.56,0.00,0.20,0.00,1.15,521.00,1.00,34.20,0.67,27.37,9.00,118.00,3.00,6.80,1.89,1.00,415.30,4.54,0.01
476,2018-06-19,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,257.00,15.26,731.00,0.25,1.21,5.32,0.00,0.11,0.65,0.71,1850.00,24.00,11.90,1.98,33.50,17.00,340.00,3.00,6.43,4.66,2.00,282.50,4.54,0.01
477,2018-06-19,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,17.61,944.00,0.78,0.49,5.11,0.02,0.12,0.65,0.08,3403.50,0.00,26.80,0.99,32.05,117.00,312.00,3.50,4.30,1.46,2.00,391.65,4.54,0.01
478,2018-06-19,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,43.80,9.83,651.00,0.11,0.50,2.63,0.00,0.12,0.53,0.54,1854.00,2.00,23.70,0.95,19.00,15.00,445.00,3.00,5.07,1.78,2.00,303.40,4.54,0.01
479,2018-06-19,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,160.20,2.78,264.00,0.42,0.74,2.36,0.00,0.24,0.00,1.75,602.00,0.00,44.20,1.12,24.40,10.00,166.00,5.00,7.17,2.75,2.00,458.60,4.54,0.01
480,2018-06-25,Chemistry,Site2,none (reference/control),Lake Water,0.87,171.00,2.03,152.00,0.40,0.63,0.54,0.00,0.21,0.00,1.44,339.00,0.00,30.50,0.75,27.37,16.00,183.00,3.00,7.37,2.89,1.00,363.40,5.25,0.01
481,2018-06-26,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,50.80,12.73,571.00,0.12,0.49,2.41,0.00,0.15,0.49,0.59,1759.00,1.00,81.60,0.96,17.50,16.00,345.00,7.00,5.23,1.73,0.00,691.00,4.54,0.01
482,2018-06-26,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,160.60,1.41,230.00,0.41,0.74,2.59,0.00,0.26,0.00,1.76,624.00,0.00,43.40,1.13,24.75,13.00,156.00,2.00,7.28,2.72,0.00,533.50,4.54,0.01
483,2018-06-26,Chemistry,Site4,fertilized,Lake Water,60.86,104.00,6.72,474.50,0.17,0.46,0.51,0.00,0.21,0.07,0.74,785.00,21.50,703.35,0.92,15.83,14.50,14.00,27.50,8.57,1.54,1.00,3551.40,1.27,0.00
484,2018-06-27,Chemistry,Site1,none (reference/control),Lake Water,1.50,161.80,3.50,250.00,0.41,0.75,2.35,0.00,0.25,0.00,1.77,618.00,0.00,33.30,1.18,27.37,17.00,160.00,2.00,7.25,2.80,0.00,407.90,4.54,0.01
485,2018-07-03,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,255.80,24.71,664.00,0.30,1.28,5.68,0.00,0.15,0.86,0.53,1975.00,54.00,33.60,1.92,34.30,37.00,325.00,5.00,6.41,5.06,1.00,333.60,4.54,0.01
486,2018-07-03,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,14.96,719.00,0.65,0.54,4.82,0.02,0.11,0.71,0.05,3551.50,0.00,27.10,0.99,35.10,64.00,315.00,4.50,4.26,1.64,3.00,314.45,4.54,0.01
487,2018-07-03,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,20.20,9.36,542.00,0.07,0.49,4.16,0.00,0.14,0.58,0.45,1998.00,0.00,27.40,0.93,18.20,14.00,413.00,4.00,4.95,1.83,0.00,314.70,4.54,0.01
488,2018-07-03,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,157.40,1.77,237.00,0.41,0.74,2.33,0.00,0.25,0.00,1.74,619.00,1.00,90.30,1.14,24.50,4.00,152.00,4.00,7.26,2.79,1.00,737.00,4.54,0.01
489,2018-07-03,Chemistry,Site3,none (reference/control),Lake Water,1.34,122.20,2.84,408.00,0.35,0.72,0.53,0.00,0.20,0.00,1.15,529.00,0.00,57.40,0.72,27.37,9.00,115.00,3.00,7.20,1.89,1.00,485.90,4.54,0.01
490,2018-07-09,Chemistry,Site2,none (reference/control),Lake Water,0.89,198.00,2.84,176.00,0.39,0.62,0.49,0.00,0.20,0.00,1.43,335.00,0.00,40.50,0.74,27.37,14.00,177.00,5.00,7.42,2.85,3.00,492.10,4.54,0.01
491,2018-07-10,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,370.55,12.37,775.00,0.29,1.26,6.15,0.03,0.15,0.92,0.51,1939.50,38.00,56.50,1.89,38.25,23.50,451.50,7.00,6.31,5.35,0.00,768.00,4.54,0.01
492,2018-07-10,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,15.00,21.36,896.00,0.68,0.56,5.08,0.02,0.15,0.81,0.06,3806.00,0.00,32.60,1.07,36.00,59.00,325.00,5.00,4.24,1.84,0.00,305.40,4.54,0.01
493,2018-07-10,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,100.00,10.65,631.00,0.04,0.47,4.29,0.00,0.14,0.61,0.40,1915.00,3.00,18.80,0.91,19.30,0.00,479.00,3.00,5.04,1.87,0.00,275.10,4.54,0.01
